timestamp,datetime,service/carts/qps(2xx),service/carts/latency,service/catalogue/qps(2xx),service/catalogue/latency,service/front-end/qps(2xx),service/front-end/latency,service/orders/qps(2xx),service/orders/latency,service/payment/qps(2xx),service/payment/latency,service/shipping/qps(2xx),service/shipping/latency,service/user/qps(2xx),service/user/latency
1586622880,2020/4/12 00:34,103.3,0.125278961,36.93333333,0.003468177,176.3666667,0.105418901,34.13313001,0.101671766,34.73449115,0.000791496,34.73217559,0.001139805,277.9333333,0.005414898
1586622890,2020/4/12 00:34,103.9333333,0.050079256,36.93333333,0.003468177,176.6333333,0.09229272,34.06646334,0.092674873,33.43333333,0.00055262,34.73217559,0.001139805,277.9333333,0.005414898
1586622900,2020/4/12 00:35,103.9333333,0.050079256,34.66666667,0.005775779,176.6333333,0.09229272,32.59979667,0.08101897,33.43333333,0.00055262,34.73217559,0.001139805,265.8,0.006100178
1586622910,2020/4/12 00:35,103.9333333,0.050079256,34.66666667,0.005775779,174.4654723,0.114976562,33.7335589,0.080268473,33.43333333,0.00055262,32.63442115,0.00109664,265.8,0.006100178
1586622920,2020/4/12 00:35,95.33333333,0.07125523,34.66666667,0.005775779,173.7988056,0.123354365,33.19957563,0.108395011,34.49080245,0.000743517,32.63442115,0.00109664,265.8,0.006100178
1586622930,2020/4/12 00:35,95.33333333,0.07125523,34.33333333,0.046093672,173.7988056,0.123354365,32.09957563,0.166401703,34.49080245,0.000743517,32.63442115,0.00109664,279,0.006403996
1586622940,2020/4/12 00:35,95.33333333,0.07125523,34.33333333,0.046093672,165.9355179,0.428659416,31.06539121,0.300817515,34.49080245,0.000743517,32.4,0.001216755,279,0.006403996
1586622950,2020/4/12 00:35,97.23333333,0.563653019,34.33333333,0.046093672,161.3688513,0.540668349,30.9647614,0.352904763,30.14036609,0.039756298,32.4,0.001216755,279,0.006403996
1586622960,2020/4/12 00:36,97.23333333,0.563653019,30.6,0.077001253,161.3688513,0.540668349,32.19809474,0.385204992,30.14036609,0.039756298,32.4,0.001216755,243.6666667,0.022371668
1586622970,2020/4/12 00:36,97.23333333,0.563653019,30.6,0.077001253,154.4,0.592459173,31.96600251,0.326313366,30.14036609,0.039756298,29.63333333,0.001562201,243.6666667,0.022371668
1586622980,2020/4/12 00:36,90.3,0.888846163,30.6,0.077001253,155.5,0.584492241,31.33567944,0.382391771,29.52545988,0.000965086,29.63333333,0.001562201,243.6666667,0.022371668
1586622990,2020/4/12 00:36,90.3,0.888846163,31.8,0.005041158,155.5,0.584492241,30.96901278,0.56241322,29.52545988,0.000965086,29.63333333,0.001562201,240.6666667,0.014280024
